PERIOD,ERM_,MOVEMENT_TYPE,MOVEMENT_TYPE_2,CURRENCY_2,TD_TYPE,NET,EOP_CM,EOP_LM,VOF_VOL,CIE_VOL,ADB_VOL,NII_VOL,UMASS_MIN,MAF_MIN,AF_MIN,UMASS_MAX,MAF_MAX,AF_MAX,UMASS_AVG,MAF_AVG,AF_AVG,UMASS_VPB,MAF_VPB,ASAF_VPB,RANKING_UMASS_VPB,RANKING_MAF_VPB,RANKING_AF_VPB,INTERBANK_SHORT,INTERBANK_LONG,DISCOUNTRATE,REFINANCINGRATE
2019-10,1,2,2,VND,NOT_ROLL,6313.801439,6313.801439,0,6439.945284,-5316.008067,1235764.266,0,4.5,4.5,4.5,5.4,5.4,5.4,4.9,4.9,4.9,5.4,5.4,5.4,1,1,1,3.19,4.15,4,6
2018-11,3,2,2,VND,NOT_ROLL,19.625404,19.625404,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-05,12-18M,3,3,NON-VND,NOT_ROLL,0.298591,38.96174,38.663148,349.883565,-15.86972818,4331030.841,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2021-07,12-18M,3,3,NON-VND,NOT_ROLL,-0.462929,47.442323,47.905252,74.07165919,-6.044141334,48602.8675,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2023-11,9,4,1UNCHANGED,VND,AUTOROLL,0,1551.775377,1551.775377,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2019-04,10-11M,1UNCHANGED,1UNCHANGED,VND,NOT_ROLL,0,163.55927,163.55927,82.82043967,-72.50902536,13114.86661,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2018-11,4,6OTHERS,6OTHERS,VND,NOT_ROLL,17.797387,63.859633,46.062246,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,5.12,4,6.25
2023-07,NULL,1NEW_NOTROLL,2,VND,NOT_ROLL,0.1,0.1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-10,3,2,2,VND,NOT_ROLL,47.642804,47.642804,0,70.74496347,-56.0171006,18132.01671,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2022-09,0,3,3,VND,NOT_ROLL,0.001375,8.532683,8.531308,6163.188797,-177.3364212,1636124.02,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.21,4.86,2,4
