PERIOD,TERM_,CURRENCY_2,NET,EOP_CM,EOP_LM,UMASS_MIN,MAF_MIN,AF_MIN,UMASS_MAX,MAF_MAX,AF_MAX,UMASS_AVG,MAF_AVG,AF_AVG,UMASS_VPB,MAF_VPB,AF_VPB,RANKING_UMASS_VPB,RANKING_MAF_VPB,RANKING_AF_VPB,INTERBANK_SHORT,INTERBANK_LONG,DISCOUNTRATE,REFINANCINGRATE,VOF_VOL,CIE_VOL,ADB_VOL
2024-03,From 18M,VND,NULL,NULL,NULL,2.99,2.99,2.99,4.7,4.7,4.7,3.7,3.75,3.81,4.2,4.2,4.2,2,3,3,4.51,4.07,3,4.5,NULL,NULL,NULL
2024-03,1-3M,VND,NULL,NULL,NULL,1.73,1.73,1.73,2.9,3,3.1,2.41,2.46,2.51,2.5,2.5,2.5,5,6,6,1.88,2.65,3,4.5,NULL,NULL,NULL
2024-03,6-9M,VND,NULL,NULL,NULL,2.99,2.99,2.99,4.7,4.7,4.7,3.7,3.75,3.81,4.2,4.2,4.2,2,3,3,4.51,4.07,3,4.5,NULL,NULL,NULL
2024-03,less than 1M,VND,NULL,NULL,NULL,1.73,1.73,1.73,5.1,5.1,5.1,2.63,2.68,2.73,2.5,2.5,2.5,5,6,6,1.47,1.75,3,4.5,NULL,NULL,NULL
2024-03,4-5M,VND,NULL,NULL,NULL,1.73,1.73,1.73,2.9,3,3.1,2.41,2.46,2.51,2.5,2.5,2.5,5,6,7,1.88,2.65,3,4.5,NULL,NULL,NULL
2024-03,12-18M,VND,NULL,NULL,NULL,2.99,2.99,2.99,4.7,4.7,4.7,3.7,3.75,3.81,4.2,4.2,4.2,2,3,3,4.51,4.07,3,4.5,NULL,NULL,NULL
2024-03,10-11M,VND,NULL,NULL,NULL,2.99,2.99,2.99,4.7,4.7,4.7,3.7,3.75,3.81,4.2,4.2,4.2,2,3,3,4.51,4.07,3,4.5,NULL,NULL,NULL
2024-03,From 18M,NON-VND,NULL,NULL,NULL,2.99,2.99,2.99,4.7,4.7,4.7,3.7,3.75,3.81,4.2,4.2,4.2,2,3,3,4.51,4.07,3,4.5,NULL,NULL,NULL
2024-03,1-3M,NON-VND,NULL,NULL,NULL,1.73,1.73,1.73,2.9,3,3.1,2.41,2.46,2.51,2.5,2.5,2.5,5,6,6,1.88,2.65,3,4.5,NULL,NULL,NULL
2024-03,6-9M,NON-VND,NULL,NULL,NULL,2.99,2.99,2.99,4.7,4.7,4.7,3.7,3.75,3.81,4.2,4.2,4.2,2,3,3,4.51,4.07,3,4.5,NULL,NULL,NULL
2024-03,less than 1M,NON-VND,NULL,NULL,NULL,1.73,1.73,1.73,5.1,5.1,5.1,2.63,2.68,2.73,2.5,2.5,2.5,5,6,6,1.47,1.75,3,4.5,NULL,NULL,NULL
2024-03,4-5M,NON-VND,NULL,NULL,NULL,1.73,1.73,1.73,2.9,3,3.1,2.41,2.46,2.51,2.5,2.5,2.5,5,6,7,1.88,2.65,3,4.5,NULL,NULL,NULL
2024-03,12-18M,NON-VND,NULL,NULL,NULL,2.99,2.99,2.99,4.7,4.7,4.7,3.7,3.75,3.81,4.2,4.2,4.2,2,3,3,4.51,4.07,3,4.5,NULL,NULL,NULL
2024-03,10-11M,NON-VND,NULL,NULL,NULL,2.99,2.99,2.99,4.7,4.7,4.7,3.7,3.75,3.81,4.2,4.2,4.2,2,3,3,4.51,4.07,3,4.5,NULL,NULL,NULL
2024-02,6-9M,NON-VND,10.371551,179.575271,169.20372,2.99,2.99,2.99,4.7,4.7,4.7,3.81,3.86,3.93,4.2,4.2,4.3,3,3,3,4.51,4.07,3,4.5,0.428712537,-0.022932647,176.2121226
2024-02,From 18M,VND,36.113905,1930.516589,1894.402684,2.99,2.99,2.99,4.7,4.7,4.7,3.81,3.86,3.93,4.2,4.2,4.3,3,3,3,4.51,4.07,3,4.5,16.37211356,-13.18497929,1909.085948
2024-02,10-11M,VND,88.023096,379.812864,291.789768,2.99,2.99,2.99,4.7,4.7,4.7,3.81,3.86,3.93,4.2,4.2,4.3,3,3,3,4.51,4.07,3,4.5,2.207545328,-1.854283339,352.4262238
2024-02,12-18M,NON-VND,7.725161,212.802887,205.077726,2.99,2.99,2.99,4.7,4.7,4.7,3.81,3.86,3.93,4.2,4.2,4.3,3,3,3,4.51,4.07,3,4.5,0.294200956,-0.014252616,213.1561526
2024-02,1-3M,VND,20832.75703,48751.95855,27919.20152,1.73,1.73,1.73,3.4,3.4,3.5,2.59,2.64,2.7,3,3,3.1,3,3,3,1.88,2.65,3,4.5,171.6151797,-126.7515212,48400.01578
2024-02,1-3M,NON-VND,52.61383,311.190877,258.577047,1.73,1.73,1.73,3.4,3.4,3.5,2.59,2.64,2.7,3,3,3.1,3,3,3,1.88,2.65,3,4.5,0.779448838,-0.00648969,297.2646642
2024-02,less than 1M,VND,-45921.65379,446.741116,46368.39491,1.73,1.73,1.73,5.5,5.5,5.5,2.8,2.85,2.91,3,3,3.1,3,3,3,1.47,1.75,3,4.5,0.498632008,-0.14741315,645.3750899
2024-02,4-5M,NON-VND,0.032792,2.939174,2.906382,1.73,1.73,1.73,3.4,3.4,3.5,2.59,2.64,2.7,3,3,3.1,3,3,3,1.88,2.65,3,4.5,0.010167089,0,2.920012891
2024-02,less than 1M,NON-VND,-23.044218,13.178794,36.223012,1.73,1.73,1.73,5.5,5.5,5.5,2.8,2.85,2.91,3,3,3.1,3,3,3,1.47,1.75,3,4.5,0.035652581,0,15.00871585
2024-02,12-18M,VND,4725.771945,54153.53269,49427.76074,2.99,2.99,2.99,4.7,4.7,4.7,3.81,3.86,3.93,4.2,4.2,4.3,3,3,3,4.51,4.07,3,4.5,426.6489912,-353.5180915,56731.33564
2024-02,6-9M,VND,36500.8488,153359.2182,116858.3694,2.99,2.99,2.99,4.7,4.7,4.7,3.81,3.86,3.93,4.2,4.2,4.3,3,3,3,4.51,4.07,3,4.5,735.3809073,-622.5846814,144586.2322
2024-02,4-5M,VND,109.551711,435.287744,325.736033,1.73,1.73,1.73,3.4,3.4,3.5,2.59,2.64,2.7,3,3,3.1,3,3,3,1.88,2.65,3,4.5,1.692443689,-1.252575949,432.569778
2024-02,From 18M,NON-VND,0.779517,48.022415,47.242897,2.99,2.99,2.99,4.7,4.7,4.7,3.81,3.86,3.93,4.2,4.2,4.3,3,3,3,4.51,4.07,3,4.5,0.120155291,0,47.56009401
2024-01,less than 1M,NON-VND,-62.54128,11.296936,73.838216,1.93,1.93,1.93,3.5,3.5,3.6,2.82,2.86,2.94,3.2,3.2,3.4,2,3,3,0.95,2.19,3,4.5,0.037585256,0,12.05165428
2024-01,12-18M,VND,3775.894953,59946.43582,56170.54087,3.18,3.18,3.18,5.3,5.3,5.3,4.2,4.24,4.34,4.1,4.1,4.5,6,6,4,4.32,5.9,3,4.5,539.4289501,-448.1527682,62645.75928
2024-01,From 18M,NON-VND,0.414449,47.242897,46.828448,3.18,3.18,3.18,5.3,5.3,5.3,4.2,4.24,4.34,4.1,4.1,4.5,6,6,4,4.32,5.9,3,4.5,-0.353859514,0,48.61238428
